Task,Model,Model Type,Accuracy,F1 (Macro),F1 (Weighted),AUROC (Macro),AUPRC (Macro),Precision (Macro),Recall (Macro)
Beat Classification,CNN,DL,0.8821000226295542,0.5195072420101798,0.8874466219109699,0.866523989188749,0.5081783207588618,0.518053449826545,0.5345297846721415
Beat Classification,LSTM,DL,0.7517537904503281,0.3411039006631843,0.741926463582238,0.6994227926463541,0.357578899710229,0.3459153961502562,0.338525239838126
Beat Classification,XGBoost,ML,0.7617107942973523,0.44237730647001156,0.8233324153472783,0.9153117091892585,0.47962340099729595,0.46898724590122004,0.7687345236689683
Beat Classification,RandomForest,ML,0.5342837746096402,0.358463507618915,0.6446017474593492,0.8428400102587461,0.46229593419445364,0.4329203437125404,0.62418844975503
Beat Classification,LogisticRegression,ML,0.7508486082824168,0.41490557807725104,0.8058094095867341,0.7766524394916637,0.4574881738222903,0.43362839386777496,0.5403969654229456
Rhythm Classification,CNN,DL,0.7081694052302707,0.5003576860591493,0.7640032672610666,0.9306737744448882,0.5325525759852926,0.4603059449606136,0.6662743817925741
Rhythm Classification,LSTM,DL,0.6225410784540616,0.3182366549209891,0.6655787914638357,0.8241542692264076,0.3216255566825995,0.30836825849045735,0.40159835660179216
Rhythm Classification,LogisticRegression,ML,0.7047920433996383,0.30462717605219347,0.7506941737150894,0.8842668316689528,0.36391833310013155,0.3592660313913155,0.4039560701603051
Rhythm Classification,XGBoost,ML,0.6507685352622061,0.31098917843656293,0.7146729661602227,0.883272080125781,0.35271244999232576,0.3220051643151452,0.39415848800314485
Rhythm Classification,RandomForest,ML,0.5289330922242315,0.22120379791972264,0.6072993212414903,0.8295756634960197,0.2991293725909771,0.23437161941212623,0.3439195414662255
